voice-over	NaN	NaN	NaN	NaN	0.023374100418794893	0.42988330168550265	0.4804608161592355	0.4640185628228421	0.43779395947402816	development	0.536788745930761	0.5087690661290457	0.5258689603735556	0.509689705391718	0.4953093163496583	0.4705584767813908	0.4484770800729981	0.4284409567134382	0.4284409567134382
video	NaN	0.6496804009072564	0.6496804009072564	0.7298147677046403	0.7136166142919418	0.6644580535135407	0.6053553588217607	0.5740915277984577	0.5341602337539593	henry	NaN	0.5455074842712943	0.4403221210857688	0.44335571592658657	0.4560118093020145	0.42638225955965603	0.4198870476667204	0.41000394224615166	0.39489964804519884
software	0.5681757122123163	0.5379948956254823	0.5508947724882653	0.589901966245801	0.57402546950948	0.5762890655666665	0.5576745256228998	0.5369039632040554	0.5121895971645312	promise	-0.915376676986584	-0.915376676986584	-0.43395252837977283	-0.43395252837977283	-0.11790505675954585	0.07852580396920911	0.011598800505056784	0.08939001051687934	0.245660134803151
gender	0.3223814995344281	0.3223814995344281	0.3696294824120645	0.42026888587148015	0.46673937377744845	0.46412498994827395	0.4330050980527531	0.3988911542789844	0.3690603448363796	estate	0.4359480125477962	0.43955824021031986	0.5675778289170936	0.4915848851374037	0.4106690589585807	0.41220562439496156	0.42558266295792463	0.393433939936958	0.38712332655976545
e-mail	NaN	NaN	-0.04971745245988851	0.4200910537394618	0.48856503279168134	0.5925626918090311	0.5510546474084823	0.46411849173105696	0.4107089348399222	slave	-0.20643431204509166	-0.09857319317424862	-0.402013033181937	-0.20616784914759453	-0.2841235666691158	-0.1935356157646884	-0.12895900352923503	-0.09603017086351795	0.01223101756677821
teaspoon	0.3662597100204405	0.36556986982479495	0.36196832515726146	0.34427945783615355	0.33517204102251086	0.33103156765045744	0.31872809067179464	0.293232644035979	0.2805144611787219	testimony	0.2082084367569951	0.32713079246201865	0.27301010056224273	0.32107527092478505	0.23557563124621236	0.2628092028696946	0.28202174962650345	0.3043350797803157	0.29377481087749896
infrastructure	0.6558359376534314	0.6299182231979965	0.5871787342210627	0.5576003525887807	0.5542847439929036	0.5176937773179483	0.49676822616649985	0.4557306065887303	0.43313311740983584	entertainment	-0.07223942208462336	-0.07223942208462336	0.5350172775976988	0.441215476042271	0.3677899123007503	0.38025206232240744	0.42433546373339476	0.4156976521846668	0.38859961579688657
feedback	NaN	NaN	0.6181630546955624	0.7611278938539905	0.6605824714120503	0.5490650283197054	0.40100492357744927	0.39755998094936756	0.3804687672003509	circuit	NaN	0.31475748194014447	0.4047887079185866	0.5633929548863057	0.5382491218803132	0.46930481980150773	0.47033824589464096	0.4368470284709217	0.4387949293282979
lifestyle	0.6496804009072564	0.6496804009072564	0.7722086215062598	0.3922925038665841	0.5200027091428966	0.34914960106855697	0.41611933373106186	0.3825311089616812	0.3706378705726662	selection	0.15170278637770898	0.4396284829721362	0.4396284829721362	0.6158712400002476	0.5515599939902209	0.4641285016882264	0.45029495903292094	0.4256814208463627	0.4068316873918534
youre	NaN	NaN	NaN	0.2285590766245689	0.31804346952105716	0.43654159696536843	0.38443157309611614	0.36080669103568486	0.35124596897848165	dean	0.5367305830576403	0.6422821978410107	0.6458869683336879	0.5863846499761128	0.5237414767796232	0.5113984440446462	0.486171187483174	0.44244530747802185	0.4261709885797104
metro	NaN	0.8823529411764706	0.8262980897819059	0.661499786688827	0.6320340054808331	0.5819487754695621	0.535919134925395	0.5085497690474805	0.48464648267896787	organ	NaN	0.40823438394416844	0.09245177120629995	0.503548252694884	0.3607508574774845	0.3984967256199976	0.36352250038859385	0.34038624086632885	0.3513163841328115
database	0.8816167641760235	0.8816167641760235	0.7681298749416154	0.6668375981387	0.5801069722399637	0.5313755329983588	0.5061037968934734	0.46351849610591733	0.44636349385876767	historian	0.05649027286516977	0.17299372070010868	0.2105730927468804	0.2255794456149789	0.2524170609559528	0.26230727186774105	0.2793221413958415	0.2898164484384473	0.2912455018850786
website	NaN	NaN	0.8370952383667944	0.8651536534067065	0.7980245091656238	0.7440088185980761	0.6262044646830601	0.5705703527838992	0.5035967348215074	reproach	-0.947515848444641	-0.9431466366450887	-0.7909510462965261	-0.5823803771295677	-0.4631376364957386	-0.3445412998356186	-0.18242231049452187	-0.10935503854962808	-0.03360387215732241
pasta	0.4696631615868608	0.4077593640286551	0.40055650909063173	0.37571942490971394	0.341496595156714	0.3135806437735217	0.2910700278103455	0.25717799238887107	0.2427906168156847	reign	NaN	-0.15332857972821326	-0.24812193756723994	-0.43833037770455097	-0.27357047299020204	-0.24414627242065973	-0.2758154652589608	-0.12134036703103065	-0.0023500551631470815
tablespoon	0.37150584748172105	0.4032718602417826	0.3793237796207281	0.35117700363805354	0.3397999537792876	0.33511844663193424	0.3226603457198375	0.300320797474893	0.2769919071187113	threshold	NaN	NaN	0.7337461300309597	0.7337461300309597	0.25180124263262343	0.03991254762203948	-0.05492330543789658	0.155575583258261	0.16187267873072034
update	NaN	NaN	NaN	NaN	0.6358002331953201	0.6823470087750573	0.6035966501827014	0.5283865082671264	0.5001106702957818	revival	0.7974565296530152	0.7974565296530152	0.6060614135907241	0.48975826464481576	0.5204213016639541	0.5172459858269722	0.4906252863389763	0.4676156745894522	0.4252415230584169
workplace	NaN	NaN	0.5461186812727501	0.47245539854311835	0.5243635228872066	0.503746884686949	0.47202151651639307	0.4598350815883976	0.4275407885469343	assumption	-0.22779764929208696	-0.07314944029113804	0.1448409714063401	0.2196926620593491	0.3020077770452373	0.33097171062346437	0.3380315231435204	0.33324642877735944	0.318043538111544
