Word,DensityAtRadius0.550,DensityAtRadius0.525,DensityAtRadius0.500,DensityAtRadius0.475,DensityAtRadius0.450,DensityAtRadius0.425,DensityAtRadius0.400,DensityAtRadius0.375,DensityAtRadius0.350,SpearmanAtRadius0.550,SpearmanAtRadius0.525,SpearmanAtRadius0.500,SpearmanAtRadius0.475,SpearmanAtRadius0.450,SpearmanAtRadius0.425,SpearmanAtRadius0.400,SpearmanAtRadius0.375,SpearmanAtRadius0.350,IsNeologism
ascidian,1334,1847,2483,3321,4302,5000,5000,5000,5000,0.3500414506385384,0.34727887916664146,0.34703637751944205,0.3337566823706096,0.32811076440566855,0.31959258034601296,0.31959258034601296,0.31959258034601296,0.31959258034601296,0
love-story,17,46,127,280,575,1108,2036,3365,5000,0.02240123557403059,0.18621954527150414,0.2722756439183112,0.2655078743604466,0.27264501142137876,0.26597526696826895,0.2705225914026701,0.25422307556518264,0.24755710602232658,0
stockin,779,1138,1658,2363,3339,4568,5000,5000,5000,0.08033253007781573,0.10585976722379606,0.132873911585229,0.1578009784755719,0.1856217189412572,0.19573627324657353,0.1994123429933024,0.1994123429933024,0.1994123429933024,0
windvane,5,18,59,180,406,881,1688,2905,4565,-0.1459149639426348,-0.0813896422755673,0.034731312468906435,0.05649821385463345,0.08699770435593071,0.13363923773366704,0.16328109428451512,0.17273889528638967,0.1870838607378615,0
country-side,1,3,10,28,149,375,860,1778,3203,0.3889254809400588,0.27890151620347564,0.2729680300266194,0.07755526754911092,0.06890478420176513,0.09188027171934421,0.09597111189911664,0.10980045877785553,0.1370605590202157,0
lock-up,14,49,155,336,720,1357,2316,3630,5000,0.04040804028198307,0.008572806223576371,0.05176096378140617,0.07334859804827143,0.10374393077131229,0.13619134647697084,0.17277935715772275,0.19377762431298934,0.2106130784674989,0
naida,126,262,552,983,1590,2355,3371,4665,5000,0.19644790852455854,0.19837482595266417,0.20321023072205613,0.19746177410257867,0.19103618590049676,0.19005199501120412,0.19953322256577868,0.1990392654109972,0.1991370950010456,0
sirup,1006,1314,1665,2137,2737,3579,4757,5000,5000,0.35377480672138534,0.3452603935138843,0.3374436560266892,0.33344238460921893,0.319893329306871,0.30903892695997737,0.29925724903214945,0.29728652055584864,0.29728652055584864,0
fallibility,129,361,734,1306,2066,3090,4281,5000,5000,0.18359182567072196,0.20975854326764828,0.22860469659712793,0.23060642229246084,0.22306934420698055,0.22817091072353374,0.222455355709996,0.22507527278118522,0.22507527278118522,0
story-book,24,84,225,532,1103,2067,3383,5000,5000,0.18755733341460865,0.22618882783607616,0.22496594395914896,0.19194374726824626,0.19274585665333613,0.19427161303665125,0.20026468226291383,0.20437345598300283,0.20437345598300283,0
profitt,89,224,475,998,1871,3095,4668,5000,5000,0.3339355995027035,0.30643534263198813,0.25793831732532363,0.2308125867674295,0.19614286254450955,0.177439286922487,0.1774962980183236,0.17955785480389444,0.17955785480389444,0
pillion,22,54,127,285,615,1191,2132,3485,5000,0.04061226848319893,0.10495224476360406,0.08085625489799222,0.15521893220304694,0.17723061250462993,0.189522167031359,0.2005158674209226,0.21406087966657608,0.22254692696734651,0
lonley,15,29,62,164,362,764,1449,2538,4034,-0.04089198073786316,0.04687012756206045,0.07370766544156357,0.11281705479943015,0.1683397273114832,0.2012862960244654,0.22405090632672006,0.2324688402213756,0.251666981750271,0
ill-temper,149,259,445,691,1029,1553,2293,3324,4764,-0.046517551200602976,-0.04651480418517029,-0.030879048371104077,0.002581538822695884,0.016034199962940757,0.031214725961791274,0.05560553401719427,0.07653173498555704,0.10206207614425526,0
demijohn,205,381,640,1097,1773,2773,4122,5000,5000,0.18021488385606993,0.20552408685029758,0.20067319264543135,0.1923929770629246,0.2084803868565194,0.2030133360421192,0.20363624692256643,0.21102614527873212,0.21102614527873212,0
gold-dust,14,56,147,379,829,1582,2794,4488,5000,0.008572844347434105,0.06716005979860543,0.09191506985764522,0.13126232588962672,0.1504096294137958,0.17714796917574385,0.19419430892516606,0.207122289043575,0.2084917923174492,0
bibliomaniac,4,13,39,124,292,729,1437,2536,4139,0.14407815032575733,0.11871845740521501,0.27566828370953894,0.21981630310027994,0.22559649358286274,0.19764962958007165,0.19860516789506874,0.20342879843263165,0.2125613606089434,0
distiller,20,56,145,333,685,1275,2275,3805,5000,0.18313943976684768,0.2666015914119533,0.3471311885310609,0.353112666706391,0.3669390563615614,0.3656930426867812,0.3618495243574509,0.34745377744034733,0.34658320960763284,0
twentytwo,15,23,56,118,274,555,1068,1924,3196,0.04853359710793899,0.14970823055242324,0.2652616413144311,0.25710057033892825,0.28571084546390846,0.31137818452496036,0.3367848169437614,0.3480215103095705,0.34398438200422005,0
cussin,1050,1340,1735,2278,2987,3983,5000,5000,5000,0.09062283913343713,0.1166256016401328,0.12881093620131995,0.14856830890362946,0.14811335129186814,0.14898838504513465,0.15356117438852024,0.15356117438852024,0.15356117438852024,0
leafage,634,899,1296,1898,2691,3725,5000,5000,5000,0.011878093607628848,0.03780732619453475,0.05024548453145947,0.07198685754132039,0.09674362886122877,0.11530911829128779,0.13775694898792967,0.13775694898792967,0.13775694898792967,0
self-justification,365,665,1097,1719,2567,3644,4914,5000,5000,0.16086637257339068,0.14900998875189342,0.1446291106201916,0.160093628495219,0.15522424369757679,0.1546097147235848,0.15654593434766798,0.1574622583894171,0.1574622583894171,0
amore,558,877,1159,1439,1780,2181,2763,3685,5000,-0.1388869660927191,-0.124786056385958,-0.09944512567676587,-0.07207175415279424,-0.04712880908626997,-0.027008230577087764,0.010700814299078645,0.049189307766160276,0.082016856271733,0
escritoire,139,250,413,717,1184,1836,2746,4070,5000,0.2378765832782046,0.21694858387014615,0.22285941172439733,0.23712283021019231,0.227857308543771,0.2268681634562899,0.22262736251448703,0.22412064874463278,0.22199099489857582,0
shiftlessness,26,58,126,239,457,813,1368,2251,3460,0.012035046298857523,-0.05348753157882974,-0.04435002027571826,-0.016119857257353442,0.027916758574516132,0.07079741798691767,0.10618489470372966,0.1293004660503719,0.14064356278383344,0
fly-leaf,36,65,107,187,295,498,885,1600,3017,0.07742958322513781,0.07995151453378523,0.12439253344902401,0.12123996488245915,0.12755376817549216,0.15422388242333257,0.15302758880396386,0.1670502144213177,0.1728975740676066,0
