Word,DensityAtRadius0.550,DensityAtRadius0.525,DensityAtRadius0.500,DensityAtRadius0.475,DensityAtRadius0.450,DensityAtRadius0.425,DensityAtRadius0.400,DensityAtRadius0.375,DensityAtRadius0.350,SpearmanAtRadius0.550,SpearmanAtRadius0.525,SpearmanAtRadius0.500,SpearmanAtRadius0.475,SpearmanAtRadius0.450,SpearmanAtRadius0.425,SpearmanAtRadius0.400,SpearmanAtRadius0.375,SpearmanAtRadius0.350,IsNeologism
voice-over,0,0,0,0,1,15,80,319,925,NaN,NaN,NaN,NaN,0.023374100418794893,0.42988330168550265,0.4804608161592355,0.4640185628228421,0.43779395947402816,1
video,0,1,1,5,24,53,135,360,885,NaN,0.6496804009072564,0.6496804009072564,0.7298147677046403,0.7136166142919418,0.6644580535135407,0.6053553588217607,0.5740915277984577,0.5341602337539593,1
software,9,20,41,76,151,303,602,1106,1926,0.5681757122123163,0.5379948956254823,0.5508947724882653,0.589901966245801,0.57402546950948,0.5762890655666665,0.5576745256228998,0.5369039632040554,0.512189597164531,1
gender,2,2,4,30,113,301,771,1601,2923,0.3223814995344281,0.3223814995344281,0.3696294824120645,0.42026888587148015,0.46673937377744845,0.46412498994827395,0.4330050980527531,0.3988911542789844,0.3690603448363796,1
e-mail,0,0,2,6,12,25,63,181,486,NaN,NaN,-0.04971745245988851,0.4200910537394618,0.48856503279168134,0.5925626918090311,0.5510546474084823,0.46411849173105696,0.4107089348399222,1
teaspoon,85,159,271,454,686,1059,1670,2693,4317,0.3662597100204405,0.36556986982479495,0.36196832515726146,0.34427945783615355,0.33517204102251086,0.33103156765045744,0.31872809067179464,0.293232644035979,0.2805144611787219,1
feedback,0,0,1,2,5,26,99,371,1071,NaN,NaN,0.6181630546955624,0.7611278938539905,0.6605824714120503,0.5490650283197054,0.40100492357744927,0.39755998094936756,0.3804687672003509,1
lifestyle,1,1,2,4,15,63,259,840,1953,0.6496804009072564,0.6496804009072564,0.7722086215062598,0.3922925038665841,0.5200027091428966,0.34914960106855697,0.41611933373106186,0.3825311089616812,0.3706378705726662,1
youre,0,0,0,1,4,40,112,284,594,NaN,NaN,NaN,0.2285590766245689,0.31804346952105716,0.43654159696536843,0.38443157309611614,0.36080669103568486,0.35124596897848165,1
metro,0,1,7,20,61,130,298,611,1220,NaN,0.8823529411764706,0.8262980897819059,0.661499786688827,0.6320340054808331,0.5819487754695621,0.535919134925395,0.5085497690474805,0.48464648267896787,1
database,3,3,5,18,53,151,386,880,1796,0.8816167641760235,0.8816167641760235,0.7681298749416154,0.6668375981387,0.5801069722399637,0.5313755329983588,0.5061037968934734,0.46351849610591733,0.44636349385876767,1
website,0,0,1,3,7,18,71,218,615,NaN,NaN,0.8370952383667944,0.8651536534067065,0.7980245091656238,0.7440088185980761,0.6262044646830601,0.5705703527838992,0.5035967348215074,1
pasta,231,319,437,585,793,1101,1595,2517,4087,0.4696631615868608,0.4077593640286551,0.40055650909063173,0.37571942490971394,0.341496595156714,0.3135806437735217,0.2910700278103455,0.25717799238887107,0.2427906168156847,1
tablespoon,95,184,296,458,670,994,1550,2443,3878,0.37150584748172105,0.4032718602417826,0.3793237796207281,0.35117700363805354,0.3397999537792876,0.33511844663193424,0.3226603457198375,0.300320797474893,0.2769919071187113,1
update,0,0,0,0,2,14,62,228,713,NaN,NaN,NaN,NaN,0.6358002331953201,0.6823470087750573,0.6035966501827014,0.5283865082671264,0.5001106702957818,1
workplace,0,0,1,11,46,182,492,1171,2242,NaN,NaN,0.5461186812727501,0.47245539854311835,0.5243635228872066,0.503746884686949,0.47202151651639307,0.4598350815883976,0.4275407885469343,1
healthcare,6,12,34,78,189,363,680,1205,1989,0.6685859799698809,0.6402144254007199,0.6139591503683874,0.5808537398963494,0.5800541431779488,0.5703529622611471,0.558903130374009,0.5342868952156533,0.5012395170391578,1
fax,1,1,3,5,9,16,24,60,128,0.9374857973189997,0.9374857973189997,0.900055779695924,0.7649349285260654,0.7312814864491096,0.7278806497196981,0.7003161705679575,0.5257525604615434,0.4877508376932589,1
workout,0,0,0,4,12,26,93,223,614,NaN,NaN,NaN,0.7542490039164702,0.7266134884333603,0.6762121289078045,0.5819972114515353,0.5501042446815272,0.5230842733509571,1
regression,0,0,0,0,1,8,33,143,444,NaN,NaN,NaN,NaN,0.8469511393076916,0.5995465035720008,0.5190755235767522,0.5023088821686101,0.47543717360855425,1
parenting,1,1,2,2,7,27,71,195,500,0.9167990748426075,0.9167990748426075,0.5610827159558754,0.5610827159558754,0.7378126536336067,0.6019021560963093,0.5193149901219593,0.4725481112575795,0.44342718235257944,1
ethnicity,1,2,8,20,92,278,631,1305,2385,0.15789473684210525,-0.38183694530443757,0.3009674088844718,0.3748707208560458,0.4856820546330855,0.4748043454960422,0.43612972758313917,0.40874538908471697,0.38097098794966244,1
baseline,0,2,3,21,49,141,351,768,1579,NaN,0.5383556202501222,0.5396835179121683,0.508390040700814,0.4845434629398037,0.49201776790797613,0.47178131596876255,0.4572179681760966,0.45337756970396476,1
ecosystem,1,5,12,35,103,253,602,1388,2690,0.6496804009072564,0.45568283871546694,0.5661724841811973,0.5312147673932018,0.43473535714625683,0.36725498065030293,0.3361437595742496,0.3201050859838538,0.3060660283587617,1
processor,1,1,1,5,15,84,282,711,1484,0.7375821265214417,0.7375821265214417,0.7375821265214417,0.4952597956321928,0.49835016574758956,0.44239408057736007,0.43452689537786093,0.4283072410563287,0.40427411669435365,1
ppg,0,0,0,3,9,52,156,404,926,NaN,NaN,NaN,0.5052237470374915,0.5267633678799013,0.47691057462121544,0.4864531629546745,0.4316416538289176,0.40825836069105664,1
spokeswoman,1,1,1,1,4,7,19,68,148,0.9917440660474718,0.9917440660474718,0.9917440660474718,0.9917440660474718,0.804674430082915,0.7497876975134842,0.7460338805146001,0.6272610165417719,0.5957379712655885,1
icon,0,1,2,9,34,127,379,972,2092,NaN,0.890608875128999,-0.02786377708978327,0.13396070456548584,0.4491619165166788,0.47614784097613794,0.4217725964447756,0.4131964169998577,0.3858090124229234,1
globalization,29,57,138,310,612,1092,1831,2853,4185,0.6882241571076106,0.6661336579663292,0.6236709556992689,0.5846754423038661,0.5399653428989423,0.4960899843776545,0.44901859211534495,0.41049660255402254,0.37907471868492526,1
email,0,0,0,1,3,9,25,81,252,NaN,NaN,NaN,0.5739412482488021,0.07510769580542971,0.5123720729750939,0.45900174778518676,0.40916401354986676,0.3358026492602461,1
governance,4,24,100,272,617,1145,1952,3051,4414,0.3984951015646111,0.49128104602875594,0.5199876145891446,0.47895464783503966,0.4552252133651192,0.4224877400823792,0.395226574467029,0.3662152191038324,0.3450765312280765,1
interface,2,14,54,136,268,517,989,1884,3284,0.5987892516337532,0.5325322518008716,0.5390709122906306,0.5199331975856443,0.4992335068674263,0.47647496600356215,0.44604732271969005,0.41647111958886557,0.3910970311562749,1
workforce,3,7,20,48,144,303,609,1157,1986,0.4680005768313625,0.4993053714809292,0.6339126994511506,0.5999070249255144,0.5799902588097919,0.5581167379546067,0.543267056966084,0.5020186417510298,0.4695939211297175,1
laptop,8,21,48,91,200,363,717,1309,2311,0.7533692531830501,0.6883875624400444,0.6882894967000465,0.6895060723382531,0.6576331576960217,0.6075836042400782,0.574196243538992,0.5343732897763716,0.4960604520191998,1
biodiversity,2,4,6,14,26,71,218,556,1285,0.8021363820841751,0.7874833599617564,0.7186441192727262,0.61350029138422,0.5295328851075687,0.4883674615191584,0.4700002275496821,0.4465976784596373,0.42665709883178743,1
info,0,0,0,0,0,1,4,11,46,NaN,NaN,NaN,NaN,NaN,0.6181630546955624,0.22438907727185273,0.15973313552776175,0.17993541108041555,1
blog,0,0,2,4,10,28,81,219,561,NaN,NaN,0.844536175088998,0.7543144027121448,0.6430753083404512,0.6642373496616318,0.6039382145876928,0.5376797835362962,0.48315666987282535,1
outreach,4,13,26,70,146,279,523,973,1802,0.7089069007794293,0.6648754443815922,0.6548598884296718,0.612689221338502,0.5711651217672468,0.5522224508251259,0.5216914333565607,0.48214186274353704,0.45344859708850305,1
preschool,4,7,11,22,36,72,143,275,547,0.8253987184563345,0.6408550764360077,0.5157461868502188,0.4718834021441145,0.5170949132068388,0.5368146582757699,0.509191835445714,0.5039534130811933,0.48450609130362426,1
